NaN,NaN,NaN,NaN,NaN,NaN,NaN,12.0,4.86,14.28,43.75,89.28,83.43,95.33,158.72,143.25,238.18,268.24,248.0,219.13,268.24,278.65,311.09,333.71,278.65,333.71,268.24,345.32,333.71,311.09,357.12,357.12,357.12,345.32,393.73,381.33,393.73,406.32,393.73,419.12,393.73,357.12,357.12,500.07,419.12,300.08,268.24,278.65,219.13,200.88,219.13,258.02,381.33,381.33,322.3,192.05,135.81,128.56,143.25,166.76,209.91,258.02,322.3,445.31,486.08,311.09,228.56,192.05,322.3,135.81,345.32,48.01,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,0.89,95.33,258.02,183.42,135.81,183.42,192.05,219.13,219.13,300.08,311.09,311.09,248.0,268.24,300.08,300.08,300.08,311.09,289.27,333.71,345.32,369.12,432.12,369.12,381.33,393.73,345.32,381.33,419.12,406.32,419.12,445.31,458.7,500.07,458.7,458.7,472.29,419.12,406.32,445.31,322.3,278.65,268.24,238.18,209.91,183.42,219.13,311.09,393.73,278.65,369.12,166.76,174.99,183.42,183.42,258.02,289.27,300.08,357.12,333.71,333.71,238.18,268.24,228.56,333.71,345.32,192.05,9.92,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,8.04,72.32,183.42,300.08,322.3,381.33,472.29,258.02,322.3,333.71,381.33,419.12,311.09,289.27,300.08,268.24,268.24,258.02,322.3,333.71,357.12,300.08,345.32,406.32,393.73,369.12,381.33,369.12,419.12,406.32,472.29,514.25,528.64,558.0,558.0,558.0,514.25,472.29,486.08,500.07,393.73,357.12,311.09,289.27,268.24,248.0,174.99,192.05,322.3,311.09,289.27,322.3,278.65,248.0,183.42,192.05,258.02,311.09,238.18,289.27,268.24,393.73,311.09,192.05,200.88,258.02,381.33,183.42,268.24,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,14.28,43.75,114.68,219.13,558.0,619.11,619.11,650.85,406.32,432.12,486.08,486.08,406.32,381.33,369.12,393.73,268.24,268.24,278.65,322.3,311.09,357.12,345.32,393.73,406.32,445.31,369.12,381.33,369.12,369.12,432.12,514.25,650.85,650.85,667.02,683.39,716.72,588.16,543.22,558.0,486.08,432.12,381.33,333.71,248.0,200.88,174.99,166.76,158.72,248.0,248.0,238.18,209.91,258.02,209.91,192.05,174.99,200.88,268.24,238.18,238.18,238.18,322.3,289.27,228.56,238.18,289.27,219.13,150.88,311.09,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,89.28,57.14,108.03,121.52,150.88,393.73,419.12,733.68,699.96,716.72,528.64,419.12,419.12,500.07,445.31,432.12,393.73,345.32,289.27,333.71,345.32,322.3,357.12,345.32,406.32,345.32,445.31,432.12,406.32,381.33,381.33,419.12,472.29,528.64,543.22,558.0,558.0,588.16,634.88,619.11,603.53,572.98,486.08,419.12,333.71,268.24,258.02,258.02,192.05,150.88,158.72,174.99,174.99,166.76,183.42,150.88,158.72,238.18,289.27,238.18,238.18,228.56,238.18,357.12,393.73,289.27,322.3,278.65,311.09,158.72,101.58,83.43,39.68,89.28,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,72.32,114.68,158.72,228.56,300.08,248.0,278.65,445.31,500.07,839.63,716.72,588.16,486.08,500.07,514.25,458.7,369.12,333.71,345.32,393.73,381.33,393.73,381.33,393.73,393.73,333.71,406.32,458.7,486.08,432.12,432.12,500.07,558.0,572.98,619.11,716.72,634.88,634.88,619.11,699.96,768.21,619.11,572.98,357.12,289.27,238.18,200.88,174.99,183.42,135.81,166.76,121.52,143.25,174.99,135.81,135.81,209.91,258.02,278.65,200.88,219.13,228.56,248.0,381.33,445.31,311.09,406.32,268.24,183.42,150.88,143.25,209.91,57.14,39.68,NaN,NaN,NaN,NaN,NaN,NaN
NaN,19.44,43.75,150.88,219.13,322.3,357.12,432.12,419.12,322.3,406.32,514.25,603.53,619.11,588.16,572.98,514.25,472.29,393.73,357.12,369.12,406.32,419.12,406.32,381.33,393.73,381.33,458.7,445.31,406.32,458.7,458.7,472.29,514.25,558.0,667.02,699.96,768.21,733.68,699.96,750.85,603.53,486.08,432.12,369.12,311.09,258.02,200.88,166.76,135.81,121.52,95.33,135.81,101.58,128.56,108.03,101.58,166.76,200.88,248.0,200.88,166.76,228.56,248.0,258.02,322.3,381.33,381.33,486.08,268.24,209.91,278.65,166.76,77.77,174.99,108.03,19.44,NaN,NaN,NaN,NaN,NaN
NaN,1.59,48.01,166.76,258.02,268.24,369.12,381.33,472.29,514.25,419.12,472.29,572.98,619.11,572.98,588.16,528.64,543.22,472.29,458.7,419.12,419.12,406.32,406.32,419.12,419.12,345.32,472.29,486.08,472.29,528.64,445.31,458.7,458.7,500.07,572.98,634.88,733.68,650.85,588.16,603.53,486.08,419.12,345.32,268.24,238.18,209.91,166.76,135.81,108.03,89.28,77.77,101.58,89.28,114.68,95.33,101.58,200.88,158.72,200.88,158.72,183.42,200.88,228.56,258.02,322.3,514.25,486.08,419.12,333.71,322.3,219.13,200.88,143.25,219.13,393.73,158.72,114.68,NaN,NaN,NaN,NaN
NaN,8.04,57.14,121.52,174.99,258.02,300.08,393.73,458.7,572.98,500.07,588.16,667.02,603.53,558.0,558.0,558.0,486.08,528.64,445.31,445.31,472.29,432.12,432.12,458.7,432.12,406.32,472.29,419.12,500.07,514.25,558.0,558.0,543.22,500.07,472.29,486.08,528.64,543.22,528.64,419.12,419.12,357.12,289.27,248.0,192.05,174.99,143.25,108.03,89.28,67.06,62.0,72.32,77.77,89.28,77.77,128.56,150.88,200.88,174.99,166.76,200.88,278.65,393.73,278.65,357.12,432.12,588.16,472.29,876.53,543.22,238.18,166.76,158.72,228.56,381.33,311.09,121.52,22.32,NaN,25.4,NaN
NaN,NaN,39.68,95.33,174.99,209.91,300.08,357.12,406.32,458.7,486.08,486.08,514.25,603.53,603.53,650.85,572.98,543.22,528.64,458.7,458.7,458.7,486.08,432.12,432.12,406.32,445.31,472.29,500.07,528.64,558.0,650.85,716.72,750.85,588.16,572.98,514.25,486.08,472.29,445.31,406.32,381.33,300.08,289.27,192.05,150.88,135.81,121.52,83.43,67.06,52.48,62.0,95.33,72.32,62.0,67.06,89.28,135.81,128.56,128.56,143.25,200.88,300.08,322.3,322.3,381.33,393.73,500.07,572.98,650.85,572.98,419.12,458.7,248.0,258.02,393.73,268.24,200.88,83.43,8.04,NaN,NaN
