NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.089,0.16,0.136,0.215,0.219,0.211,0.211,0.211,0.227,0.254,0.278,0.215,0.215,0.215,0.239,0.231,0.231,0.223,0.239,0.282,0.282,0.254,0.243,0.211,0.235,0.42,0.282,0.286,0.282,0.294,0.258,0.294,0.317,0.27,0.266,0.353,0.317,0.309,0.274,0.231,0.211,0.302,0.25,0.412,0.365,0.302,0.365,0.471,0.27,0.329,0.294,0.424,0.29,0.428,0.431,0.463,0.506,0.494,0.593,0.557,0.652,0.494,0.585,0.573,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,0.199,0.223,0.183,0.227,0.195,0.199,0.235,0.199,0.18,0.195,0.223,0.211,0.207,0.231,0.227,0.219,0.219,0.227,0.227,0.219,0.246,0.235,0.246,0.266,0.266,0.235,0.235,0.286,0.195,0.246,0.254,0.282,0.317,0.353,0.306,0.376,0.278,0.325,0.333,0.274,0.254,0.294,0.298,0.451,0.309,0.313,0.451,0.396,0.439,0.361,0.286,0.266,0.337,0.211,0.313,0.384,0.463,0.404,0.431,0.459,0.502,0.554,0.53,0.51,0.51,0.758,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,0.18,0.203,0.207,0.239,0.258,0.168,0.207,0.164,0.176,0.195,0.164,0.187,0.199,0.203,0.14,0.203,0.195,0.227,0.215,0.195,0.215,0.18,0.227,0.227,0.223,0.27,0.258,0.254,0.25,0.235,0.203,0.258,0.365,0.306,0.262,0.262,0.4,0.349,0.321,0.27,0.309,0.306,0.254,0.333,0.471,0.306,0.431,0.246,0.262,0.278,0.286,0.333,0.262,0.27,0.337,0.266,0.195,0.317,0.491,0.357,0.392,0.408,0.483,0.502,0.538,0.487,0.542,0.573,0.727,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,0.199,0.227,0.187,0.211,0.243,0.199,0.243,0.235,0.211,0.203,0.187,0.199,0.203,0.187,0.211,0.183,0.203,0.18,0.211,0.199,0.199,0.191,0.203,0.223,0.219,0.246,0.243,0.254,0.25,0.25,0.207,0.223,0.345,0.341,0.38,0.424,0.357,0.353,0.412,0.372,0.306,0.282,0.361,0.329,0.274,0.246,0.341,0.365,0.329,0.306,0.25,0.258,0.286,0.231,0.262,0.235,0.349,0.254,0.467,0.337,0.365,0.337,0.416,0.372,0.51,0.573,0.317,0.522,0.502,0.593,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,0.187,0.203,0.203,0.199,0.172,0.176,0.187,0.183,0.231,0.231,0.223,0.223,0.207,0.18,0.203,0.199,0.195,0.203,0.215,0.219,0.199,0.207,0.203,0.219,0.231,0.231,0.219,0.227,0.235,0.231,0.27,0.258,0.231,0.243,0.258,0.274,0.479,0.298,0.262,0.286,0.369,0.349,0.345,0.29,0.298,0.333,0.239,0.235,0.246,0.215,0.183,0.168,0.286,0.176,0.235,0.219,0.187,0.278,0.302,0.408,0.424,0.384,0.392,0.369,0.38,0.451,0.487,0.27,0.546,0.55,0.542,0.573,0.514,0.715,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,0.215,0.191,0.18,0.148,0.176,0.168,0.148,0.16,0.168,0.203,0.176,0.191,0.172,0.195,0.227,0.207,0.211,0.211,0.219,0.203,0.18,0.16,0.18,0.187,0.199,0.203,0.219,0.227,0.219,0.239,0.239,0.231,0.298,0.274,0.278,0.29,0.38,0.404,0.408,0.447,0.376,0.353,0.361,0.294,0.254,0.239,0.215,0.286,0.203,0.211,0.191,0.172,0.164,0.156,0.168,0.136,0.176,0.298,0.294,0.294,0.306,0.451,0.491,0.412,0.581,0.51,0.431,0.494,0.557,0.585,0.557,0.585,0.546,0.64,NaN,NaN,NaN,NaN,NaN,NaN
NaN,0.286,0.227,0.203,0.183,0.156,0.152,0.164,0.176,0.164,0.132,0.183,0.16,0.172,0.164,0.183,0.183,0.203,0.207,0.215,0.223,0.199,0.203,0.227,0.191,0.18,0.187,0.191,0.211,0.207,0.207,0.258,0.219,0.239,0.282,0.278,0.246,0.27,0.306,0.286,0.333,0.361,0.384,0.38,0.353,0.325,0.227,0.254,0.18,0.172,0.199,0.152,0.172,0.144,0.199,0.223,0.215,0.164,0.195,0.239,0.223,0.302,0.325,0.4,0.463,0.38,0.428,0.479,0.475,0.491,0.447,0.569,0.593,0.369,0.487,0.554,0.577,NaN,NaN,NaN,NaN,NaN
NaN,0.073,0.235,0.172,0.156,0.16,0.14,0.168,0.152,0.176,0.16,0.176,0.156,0.16,0.199,0.207,0.219,0.18,0.211,0.203,0.207,0.207,0.191,0.199,0.195,0.176,0.203,0.18,0.187,0.183,0.239,0.156,0.211,0.203,0.219,0.219,0.235,0.223,0.274,0.294,0.254,0.235,0.357,0.337,0.321,0.309,0.223,0.207,0.183,0.191,0.183,0.187,0.136,0.278,0.101,0.266,0.168,0.136,0.262,0.243,0.302,0.388,0.317,0.317,0.376,0.463,0.487,0.542,0.534,0.431,0.605,0.498,0.644,0.597,0.561,0.723,0.617,0.68,NaN,NaN,NaN,NaN
NaN,0.176,0.207,0.227,0.152,0.148,0.156,0.128,0.144,0.195,0.152,0.164,0.203,0.18,0.164,0.195,0.207,0.144,0.203,0.191,0.207,0.191,0.18,0.195,0.195,0.187,0.211,0.199,0.18,0.176,0.195,0.211,0.207,0.187,0.183,0.176,0.223,0.203,0.172,0.203,0.18,0.195,0.207,0.231,0.231,0.286,0.227,0.219,0.235,0.195,0.187,0.148,0.117,0.176,0.136,0.183,0.227,0.124,0.18,0.235,0.223,0.282,0.286,0.451,0.424,0.361,0.412,0.483,0.455,0.609,0.581,0.534,0.487,0.546,0.577,0.636,0.613,0.687,0.617,NaN,NaN,NaN
NaN,NaN,0.266,0.211,0.187,0.172,0.144,0.183,0.176,0.187,0.148,0.164,0.172,0.148,0.172,0.187,0.195,0.191,0.172,0.235,0.195,0.187,0.191,0.183,0.199,0.195,0.191,0.199,0.227,0.235,0.207,0.243,0.211,0.18,0.18,0.18,0.223,0.254,0.215,0.183,0.176,0.156,0.168,0.219,0.215,0.211,0.195,0.223,0.215,0.164,0.144,0.124,0.14,0.089,0.113,0.144,0.172,0.16,0.211,0.207,0.191,0.219,0.282,0.404,0.27,0.349,0.223,0.349,0.333,0.542,0.502,0.372,0.62,0.439,0.498,0.577,0.554,0.68,0.617,NaN,NaN,NaN
