0.164,0.136,0.124,0.124,0.183,0.183,0.176,0.18,0.191,0.168,0.199,0.231,0.329,0.262,0.29,0.29,0.349,0.239,0.235,0.25,0.176,0.266,0.243,0.207,0.195,0.191,0.207,0.235,0.207,0.211,0.282,0.243,0.317,0.313,0.286,0.278,0.325,0.306,0.254,0.298,0.349,0.27,0.361,0.313,0.294,0.353,0.298,0.278,0.298,0.345,0.274,0.262,0.246,0.211,0.227,0.298,0.313,0.365,0.27,0.243,0.298,0.38,0.333,0.408,0.467,0.487,0.428,0.479,0.542,0.522,0.459,0.506,0.369,0.317,0.491,0.491,0.573,0.506,0.372,0.451,0.569,0.565,0.565,0.581,0.337,0.302,0.369,0.4,0.345,0.321,0.329,0.408,0.491,0.357,0.534,0.557,0.431,0.463,0.4,0.55
0.16,0.144,0.128,0.124,0.156,0.199,0.172,0.176,0.211,0.195,0.207,0.266,0.337,0.243,0.29,0.345,0.231,0.211,0.227,0.195,0.246,0.207,0.168,0.187,0.231,0.187,0.203,0.187,0.183,0.18,0.302,0.262,0.282,0.309,0.258,0.243,0.345,0.254,0.302,0.274,0.396,0.325,0.321,0.317,0.384,0.29,0.254,0.286,0.345,0.376,0.349,0.246,0.215,0.239,0.203,0.27,0.396,0.258,0.246,0.278,0.266,0.471,0.376,0.309,0.455,0.498,0.487,0.475,0.459,0.487,0.502,0.302,0.365,0.483,0.38,0.4,0.428,0.491,0.384,0.416,0.518,0.439,0.557,0.408,0.341,0.294,0.341,0.298,0.349,0.317,0.309,0.353,0.38,0.353,0.329,0.353,0.447,0.447,0.463,0.42
0.152,0.164,0.128,0.18,0.164,0.168,0.176,0.18,0.187,0.187,0.243,0.278,0.333,0.239,0.282,0.286,0.25,0.219,0.262,0.235,0.227,0.203,0.172,0.168,0.243,0.199,0.195,0.16,0.183,0.187,0.262,0.294,0.29,0.239,0.27,0.246,0.29,0.231,0.223,0.278,0.298,0.353,0.325,0.353,0.349,0.29,0.278,0.341,0.361,0.329,0.361,0.317,0.262,0.258,0.294,0.274,0.266,0.235,0.231,0.254,0.302,0.404,0.487,0.329,0.376,0.361,0.467,0.467,0.353,0.337,0.329,0.302,0.341,0.483,0.298,0.274,0.325,0.286,0.349,0.396,0.506,0.459,0.487,0.384,0.372,0.341,0.286,0.333,0.341,0.309,0.329,0.353,0.408,0.329,0.412,0.447,0.577,0.534,0.4,0.408
0.132,0.136,0.152,0.191,0.191,0.18,0.191,0.183,0.156,0.199,0.191,0.262,0.353,0.191,0.172,0.183,0.262,0.246,0.207,0.243,0.187,0.243,0.187,0.172,0.199,0.219,0.168,0.203,0.231,0.207,0.286,0.25,0.274,0.243,0.231,0.239,0.25,0.29,0.258,0.215,0.376,0.29,0.294,0.361,0.341,0.298,0.325,0.294,0.341,0.321,0.337,0.306,0.294,0.262,0.321,0.254,0.239,0.254,0.231,0.298,0.262,0.309,0.514,0.309,0.341,0.365,0.361,0.298,0.306,0.341,0.298,0.309,0.392,0.388,0.325,0.309,0.278,0.27,0.298,0.353,0.384,0.502,0.51,0.298,0.333,0.286,0.298,0.321,0.337,0.302,0.333,0.392,0.447,0.431,0.416,0.506,0.467,0.51,0.672,0.636
0.128,0.117,0.14,0.168,0.176,0.203,0.215,0.207,0.164,0.183,0.223,0.231,0.25,0.187,0.183,0.164,0.183,0.176,0.199,0.199,0.183,0.172,0.191,0.168,0.187,0.215,0.187,0.195,0.183,0.203,0.254,0.25,0.254,0.239,0.227,0.274,0.223,0.258,0.239,0.258,0.435,0.321,0.306,0.38,0.345,0.321,0.298,0.313,0.365,0.306,0.361,0.25,0.408,0.361,0.357,0.306,0.286,0.258,0.27,0.274,0.306,0.294,0.522,0.435,0.345,0.471,0.534,0.412,0.416,0.294,0.341,0.455,0.42,0.325,0.317,0.306,0.274,0.294,0.298,0.384,0.306,0.337,0.329,0.274,0.298,0.298,0.302,0.286,0.302,0.325,0.329,0.384,0.534,0.601,0.475,0.487,0.534,0.487,0.546,0.51
0.12,0.124,0.14,0.14,0.172,0.164,0.195,0.183,0.211,0.195,0.16,0.309,0.262,0.195,0.195,0.211,0.203,0.16,0.172,0.183,0.27,0.231,0.18,0.164,0.215,0.231,0.207,0.223,0.215,0.282,0.219,0.239,0.231,0.266,0.25,0.27,0.286,0.306,0.258,0.294,0.396,0.392,0.329,0.317,0.294,0.416,0.286,0.294,0.313,0.302,0.4,0.258,0.313,0.278,0.325,0.341,0.294,0.333,0.337,0.337,0.309,0.392,0.475,0.522,0.557,0.546,0.471,0.518,0.463,0.408,0.349,0.487,0.581,0.408,0.294,0.29,0.294,0.29,0.274,0.274,0.298,0.29,0.274,0.298,0.266,0.306,0.27,0.282,0.317,0.321,0.349,0.357,0.447,0.656,0.636,0.632,0.557,0.459,0.597,0.542
0.113,0.124,0.124,0.12,0.105,0.605,0.195,0.231,0.191,0.124,0.172,0.345,0.29,0.183,0.211,0.215,0.223,0.195,0.164,0.172,0.191,0.246,0.172,0.207,0.203,0.239,0.246,0.211,0.187,0.211,0.235,0.231,0.274,0.231,0.227,0.25,0.243,0.274,0.309,0.298,0.337,0.353,0.392,0.376,0.341,0.329,0.329,0.313,0.341,0.333,0.369,0.262,0.365,0.345,0.329,0.27,0.29,0.372,0.294,0.333,0.25,0.27,0.353,0.475,0.597,0.491,0.538,0.502,0.487,0.376,0.451,0.506,0.522,0.412,0.357,0.369,0.317,0.302,0.384,0.341,0.329,0.321,0.313,0.313,0.369,0.38,0.353,0.313,0.313,0.376,0.439,0.384,0.51,0.609,0.624,0.652,0.648,0.593,0.691,0.589
0.124,0.128,0.132,0.105,0.156,0.124,0.168,0.341,0.164,0.144,0.168,0.282,0.156,0.18,0.223,0.231,0.215,0.262,0.219,0.191,0.183,0.191,0.207,0.239,0.246,0.294,0.219,0.219,0.191,0.231,0.258,0.254,0.25,0.215,0.191,0.258,0.302,0.266,0.298,0.29,0.298,0.353,0.282,0.357,0.369,0.321,0.317,0.325,0.357,0.317,0.341,0.278,0.361,0.372,0.4,0.337,0.372,0.38,0.341,0.302,0.286,0.266,0.361,0.431,0.309,0.306,0.309,0.361,0.475,0.435,0.325,0.258,0.349,0.262,0.306,0.29,0.337,0.333,0.369,0.325,0.329,0.483,0.333,0.321,0.337,0.369,0.416,0.4,0.329,0.412,0.475,0.483,0.589,0.617,0.617,0.624,0.656,0.64,0.64,0.628
0.124,0.148,0.156,0.136,0.12,0.136,0.172,0.455,0.18,0.195,0.144,0.14,0.132,0.215,0.227,0.254,0.274,0.246,0.187,0.18,0.195,0.176,0.223,0.27,0.262,0.223,0.183,0.187,0.207,0.207,0.254,0.274,0.239,0.215,0.231,0.219,0.254,0.349,0.325,0.294,0.266,0.286,0.262,0.329,0.345,0.306,0.329,0.274,0.278,0.302,0.27,0.333,0.357,0.313,0.361,0.392,0.404,0.396,0.353,0.361,0.333,0.345,0.353,0.361,0.309,0.298,0.333,0.294,0.313,0.357,0.282,0.286,0.254,0.258,0.254,0.298,0.329,0.325,0.302,0.349,0.357,0.317,0.345,0.337,0.447,0.349,0.384,0.514,0.502,0.609,0.624,0.542,0.408,0.569,0.617,0.617,0.609,0.632,0.648,0.628
0.128,0.148,0.156,0.152,0.183,0.183,0.168,0.227,0.357,0.132,0.223,0.16,0.16,0.199,0.227,0.231,0.235,0.172,0.235,0.187,0.18,0.18,0.219,0.195,0.187,0.215,0.203,0.203,0.219,0.211,0.266,0.258,0.262,0.191,0.235,0.239,0.27,0.274,0.317,0.254,0.294,0.341,0.309,0.306,0.306,0.298,0.388,0.369,0.341,0.341,0.294,0.408,0.365,0.321,0.353,0.388,0.353,0.455,0.416,0.4,0.353,0.396,0.313,0.302,0.353,0.337,0.431,0.309,0.369,0.243,0.298,0.266,0.27,0.239,0.239,0.25,0.302,0.286,0.329,0.294,0.325,0.306,0.325,0.29,0.361,0.302,0.494,0.388,0.329,0.345,0.526,0.506,0.447,0.479,0.53,0.51,0.565,0.471,0.487,0.475
